content,reply,image_urls
"너네 섭종 위기야?
BA7E9F | 2024. 7. 19. 20:47 | 774
넷마블 본사에서 매출 일정 이상 안나오면 섭종 수순 밟는다고 공지 때렸니?
쿠폰 부터 시작해서 뭐 노골적으로 매출 안나와서 안절부절 못하는 것 마냥 그러는데...
그러면 좀 가격을 낮춰 이 녀석들아
10명이 사는 것 보다 가격을 낮춰서 100명 1000명이 사는게 더 낫지 않겠냐
0
0
2
0
0
0
BA7E9F
성실 멤버
아렌|-|로그|레벨 1
+ 구독하기 0","클라인슈미트 | 2024. 7. 20. 01:50 답글
아마 그건 일본 ip에 천상금 내야하니까 쉽진 않을듯 ? ",
"상품만 쳐 내놓지 말구 GM노트나 갈겨
막피의막피 | 2024. 7. 19. 20:17 | 351
까먹었냐?
0
0
0
0
0
0
막피의막피
성실 멤버
루슬란|-|위치|레벨 3
+ 구독하기 0",,
"아주 그냥 게임 관리는 안하면서 상품만 내놓기 바쁘지 아주
클라인슈미트 | 2024. 7. 19. 17:54 | 264
장난 똥때리냐 
  버그 부터 모니터링하고 좀 고칠 생각을 해야지 
  그냥 50단계 완성 했다고 그냥 넘어가려고 하는건가 ..?
  워터밤 초월 하면 미션도 못하는 게임 
  에라이 내가 그동안 진짜 친절 주사 맞아가며 대했는데 
  정신을 못차리네 직원들 교육좀 시켜라
0
0
0
0
0
0
클라인슈미트
성실 멤버
에델리안|Aurora乀|로그|레벨 201
+ 구독하기 6",,
"대운동회 일괄강화 하지마세요
쿵쾅쿵 | 2024. 7. 19. 00:28 | 878
 일괄강화 2번했더니
이벤트 강화회수도 2번밖에 인정안됨 ㅅㅂ
   

0
0
0
0
0
0
쿵쾅쿵
성실 멤버
에델리안|토리즈|소드맨|레벨 205
+ 구독하기 0","웨이아이 | 2024. 7. 19. 18:34 답글
일괄강화 안해도 40강 하고나면 사실 저건 의미없어요..
차라리 일괄하고 빨리 끝내는게 나아요.
강화 할 것도 없는데 강화석만 쌓이는 중......
기막힌진리 | 2024. 7. 19. 11:11 답글
처음부터 공지에 있던거라서, 어쩔 수 없죠. 
남은 기간에 나오는 강화석으로 강화 하시면 받을 수 있으니, 힘내세요!!
丷루나丷 | 2024. 7. 19. 01:36 답글
처음부터 이벤트 공지에 기재되어 있어서.. ",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/40eb40e1f9c34f4398185e4051ae8200_1721316469504_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/6bfddda400b54c82bff19b7a5a4e9ffa_1721316469528_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/40096e40047c4d35a085d221abfa7bd6_1721316469534_d.jpg
"침식월보 워러밤,웨이브,블리자드 스킬 업적 카운트 안된다.
건들면반말한다 | 2024. 7. 18. 23:16 | 370
      앤티인가 머시기인가 거기에 직원들 다 투입됐누,.,, 몇몇 유저가 업적 카운트 안된다고 올려 놨는데도 왜 언급조차 안하누?
운영이 힘드니? 뭐니?  초월한 스킬이라 카운트 안되는 거 같은데 확인해봐라.. 야근을 하든 특근을하든.. 놀고 쳐 자빠져 월급 루팡 하지말고 
에라이 너네들이 왜 욕을 들어 먹는지 반성/성찰좀 해라 마부루 쉨
0
0
0
0
0
0
건들면반말한다
성실 멤버
루슬란|Simple|엔지니어|레벨 217
+ 구독하기 0","CM클로이 | 2024. 7. 19. 10:30 답글
안녕하세요 여행자님,
먼저 시즌1: 아르도르 패스 업적 달성과 관련하여 불편을 드려 죄송합니다.

말씀해 주신 현상은 확인된 현상 안내 공지를 통해 안내해 드린 것처럼
초월된 워터밤, 타이덜 웨이브, 블리자드 스킬을 사용 시 업적 달성이 적용되지 않는 현상이 있으며,
초월 되지 않은 스킬 사용 시에는 달성이 가능한 것으로 확인하였습니다.

관련 현상으로 이용에 불편 드리게 되어 다시 한번 사과 드리며,
빠르게 조치할 수 있도록 최선을 다하겠습니다!
답글 3개 모두 보기",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/3f33d7a6760e49d3be4f5068c0e25341_1721311996723_d.jpg
"엿먹이려고 작정한 배치
아리론 | 2024. 7. 18. 21:50 | 674
소급 안시켜줄거면 추적던전, 특정 보스잡기 이런 오래 걸리거나 
일주일에 한번밖에 못하는거는 앞쪽에 사이드로 배치하셨어야죠
앞쪽 텅텅 비어있는데 맨뒤쪽에 저렇게 몰아서 배치해두는건 그냥 엿먹이려는 의도로 밖에 안보여요
    0
0
1
0
0
0
아리론
성실 멤버
에델리안|방구석클랜|로그|레벨 225
+ 구독하기 2",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/bd30b201c6f54c16b44da8b86e0f235c_1721306840037_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/a9ace5461160486ea5ff8d85475a9a72_1721306970787_d.jpg
"[CESCO] 긁힌 칼퀴들 ㅋㅋ
귀신꿈꿔 | 2024. 7. 18. 20:55 | 459
      0
1
1
0
0
0
귀신꿈꿔
일반 멤버
칼리아|CESCO|소드맨|레벨 217
+ 구독하기 3","93C05F | 2024. 7. 19. 09:05 답글
무플방지) 40대 아재가 24시간 방구석 컴퓨터 앞에 앉아, 흐리멍텅한 눈으로 자추 누르는 모습이 참안타까운 상황이다",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/f483a642e5f143658ffffc228e45c095_1721303723370_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/833b142194234ab8b7a28bdfb4cfc4d6_1721303723389_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/9a37766321644bf78215128e526c7f44_1721303723394_d.jpg
"시공의 전장 알려준다.
귀신 | 2024. 7. 18. 20:54 | 548
  0
1
0
0
0
0
귀신
일반 멤버
엔비|천생연분|소드맨|레벨 256
+ 구독하기 1",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/8dd5bea879e04a419a171d3f29f60973_1721303622195.gif
"대운동회! 코인 소모 미션팩 지금 구매하면 소급적용되나요???
丷루나丷 | 2024. 7. 17. 15:35 | 494
소급적용 안되면 안살려고 하는데... 알려주실분...
          0
0
0
0
0
0
丷루나丷
성실 멤버
에델리안|피지컬|위치|레벨 226
+ 구독하기 0","丷후니丷 | 2024. 7. 19. 16:36 답글
넷마블 운영자야 답변좀 달아죠라
한메일 | 2024. 7. 18. 11:36 답글
부추 | 2024. 7. 17. 18:35 답글
저 어제삿는뎅 보상바로 다받음
심심바 | 2024. 7. 17. 15:45 답글
낼11시에 초기화 +다음주 주간구입하면
370+370 딱 740코인소모
소급적용없이 모든보상획득가능
낼 11시상점보고 초기화된거확인하고 구입하시면 될거같습니다 30%쓰셔야하는거면 오늘구입하시고요
답글 2개 모두 보기",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/b95588767b7a47e98727e43a6ba89ba7_1721198034919_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/a47d4a2d3b3140009e17fc4913811d71_1721198041897_d.jpg
"숙련된 모험가 미션 어떤게 있나요??
빡돌핀 | 2024. 7. 17. 00:57 | 414
1~6장 알려주실 천사분 계십니까~?
0
0
0
0
0
0
빡돌핀
성실 멤버
|코랄핑크|로그|레벨 177
+ 구독하기 1","거긴안돼요 | 2024. 7. 17. 13:43 답글
우리같은 깔개는 2장에서 막힙니다
추적던전 30페이즈인데
그거 깨면 다음장에소 트레이나 10000마리 사냥있음
트레이나 사냥하는 투력으로는 30페이즈 불가능",https://forum.netmarble.com/resources/_build/js/lib/ckeditor_pc/plugins/smiley/images/embarrassed_smile.png
"물폭탄 앞으로 9번이나 더해야해?
세실리아스 | 2024. 7. 16. 21:13 | 399
돌아버리겠네
0
0
0
0
3
0
세실리아스
성실 멤버
|유성|엔지니어|레벨 209
+ 구독하기 0",,
"재밌는 사실 2
넨스키 | 2024. 7. 16. 19:22 | 726
⚜️별무리 산맥의 벽화는 고대 이집트 상형문자를 따온 것이다
    =
          해석은 운영자가 해준대요
        0
0
2
0
0
0
넨스키
성실 멤버
엔비|조이삐와아이들|로그|레벨 182
+ 구독하기 2","찡냥이 | 2024. 7. 17. 19:59 답글
넨스키님이 포럼글을?
실버빈 | 2024. 7. 17. 17:02 답글",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/c0a169bf324344c0bc2e806297096b2e_1721125283011_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/05647ad420a047a3b93d26483a31aac2_1721125283032_d.jpg; https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/3200a672466f4141a9560084d273d07f_1721125283040_d.jpg
"티켓을 왜 더 주냐고!!!!!!
별빛의숲 | 2024. 7. 16. 13:44 | 583
  진짜 넷마블 전직원 물폭탄과 달리기 티켓 준 거 횟수만큼 다 쓰기 전엔 월급 안 줘 봐야 지금 무슨 테러를 한 건지 알 거 같은데???
  파티 짜고 몰아주기 어뷰징도 처리를 못 해
렉도 해결을 못 봐
매칭도 제대로 안 돼
길고 지루하고 짜증나고... 겨우 티켓 다 소모했다고 한숨 돌리기가 무섭게 뭐??? 다음주 티켓 살 거까지 하면 물폭탄과 달리기를 9번씩을 더 하라고???
        진쯔아아아아아 너넨 물폭탄이랑 달리기 20번씩 한 직원들만 월급 받아가라...
0
0
2
0
0
0
별빛의숲
성실 멤버
룩세리온|IBK|위치|레벨 217
+ 구독하기 0","잠린 | 2024. 7. 22. 11:08 답글
옳소
혜지쌉가능 | 2024. 7. 16. 19:46 답글
숙제도 좀 즉당히 시키자 넷마블 놈들아~! 몇번하면 스킵좀 하게 만들어!!
빈궁마마 | 2024. 7. 16. 18:57 답글
게임을 재밌을라고 하지.. 재수없을 라고 하느냐?
이벤트는 상대방이 좋아야 이벤트요, 싫으면 짐이니라~
이벤트 안받아봤으면 내놓질 마시오. 
기막힌진리 | 2024. 7. 16. 14:26 답글
진짜~~~  어제 티켓 다 털었는데.. 언제 또 하냐 ㅠㅠ 
넷마블 직원들도 이벤트 하고 있는거 맞죠??!!
암룡 | 2024. 7. 16. 13:54 답글",
"대운동회 티켓 주지말고 시간좀 줄여줘
크솜이 | 2024. 7. 16. 13:15 | 295
달리기든  물폭탄이든 젬없어
0
0
0
0
0
0
크솜이
일반 멤버
클로이|리워드|위치|레벨 241
+ 구독하기 0",,
"할인쿠폰을 오늘 주면 어쩌라는겁니까
샤넬 | 2024. 7. 16. 12:01 | 800
살거는 월요일에 이미 다 샀는데
0
0
0
0
2
1
샤넬
일반 멤버
네이트람|Cream|소드맨|레벨 237
+ 구독하기 0","슬끼 | 2024. 7. 16. 13:12 답글
ㅋㅋㅋㅋㅋㅋㄹㅇ..",
"메인퀘에 대난투있어서 강제스탑이네
연장미정 | 2024. 7. 15. 22:14 | 573
게임을 접속중인데 이용불가여서 시간제도아니고 며칠을 강제 스탑하게되는 퀘스트가 있다니
아이러니하군요?
  0
1
0
0
0
0
연장미정
신입 멤버
아렌|몽군|엔지니어|레벨 190
+ 구독하기 0","누아앙 | 2024. 7. 17. 11:46 답글
대난투는 숙련 넘어오면
매 장마다 있어요 여기서 포기하시면
안됨",https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/cf296142da5f465a86cbf5573acc99e9_1721049182528_d.jpg
"고객센터 너무 성의 없는거 아닌가요?
오아o | 2024. 7. 15. 16:39 | 664
답변
2024-07-15 12:45
안녕하세요!
마음속 깊이 간직했던 세계,
감성 모험 RPG [제2의 나라: Cross Worlds]입니다.

기재해 주신 내용을 바탕으로 게임 이용 내역을 조회해 본 결과
7월 4일 00:16경 시공의 파편 일괄 강화로 문의하신
파편 3개를 재료로 사용한 내역을 확인하여 안내해 드립니다.

저 역시 평소 게임을 즐기고 좋아하는 한 유저의 입장에서,
의도치 않은 강화로 인해 겪으셨을 여행자님의 상심에는
깊게 공감하고 있는데요,

진행하신 강화의 결과는 성공 / 실패 여부와 관계없이
[확률형 콘텐츠]의 결과물에 포함되어, 요청해 주신
복구로 도움을 드리기 어려운 점, 너른 양해를 부탁드리겠습니다.
* 해당 사항은 모든 여행자님께 동일 적용됩니다.

많이 간절하신 마음에 문의를 보내주셨을 텐데,
아쉬운 답변을 남겨드리게 되어 저도 마음이 무겁습니다.

추후에는 꼭 직접 도움드릴 수 있는 사항으로 다시 뵈었으면 하며
가파르게 상승하고 있는 코로나 확진 추세로 매우 불안정한 시국,
일상 속 따스한 옷차림 유지 및 철저한 방역 수칙 준수를 통해
그 무엇보다 건강을 최우선 유의해 나가시기 바랍니다.
            마지막에 코로나 확진추세로 매우불안정한 시국..
여름인데 옷 따숩게...
  안해주는건 뭐 그렇다 쳐도 이건 그냥 복사 붙여넣기 한 느낌인데
0
0
0
0
1
1
오아o
일반 멤버
|천생연분|소드맨|레벨 245
+ 구독하기 1","바닐라밀크 | 2024. 7. 16. 07:46 답글
저도 25강짜리 3개 빨려서 문의넣으면서 일괄강화에 강화된재료 사용이 기본체크 되어있는거 너무한거 아니냐니까 복구는 안해주고 미사용이 기본체크로 바뀌었네요.
연장미정 | 2024. 7. 15. 22:17 답글
이걸로 추측하건데 넷마블 메인 개발진은 코로나 확진추세 저 시기에 대거 이탈했다는 반증이 될수있겠군
OF끼만두 | 2024. 7. 15. 21:25 답글
마인두우 | 2024. 7. 15. 18:27 답글
와타시와다이죠부 | 2024. 7. 15. 17:11 답글
저랑 같은 답변 받으셨군요..
  저도 3개 딸려들어가서 강화되버렸는데..
  복붙이라 좀 화가 나더라구요..",
"32강전 때 중계봐주셔서 감사합니다 16강 전도 열심히 중계하겠습니다.
치지직토마 | 2024. 7. 15. 15:17 | 333
      시청자 수 32명 까지봤을 정도로 재밌으셨다면 다행입니다.! 나름 이번대회 중계자로 데뷔한거지만 많은 채팅과 후원 덕분에 더 재미있게 했던 날 인거 같습니다. 다음 16강전도 열심히하겠습니다.! 많은 관심주셔서 감사합니다 꾸벅꾸벅
  다음 16강전도 시간에 맞춰 치지직에서 하시모토토마로 중계하오니 많은 관심부탁드림니당!
2
0
5
0
1
0
치지직토마
NT: THE SUN 캐스터
칼리아|Buddy|로그|레벨 168
+ 구독하기 3",,https://hedwig-cf.netmarble.com/forum-common/enn/enn_ko/thumbnail/c87b58bf0dc1437bb36120cc7e542e4f_1721024151651_d.jpg
"익숙한 5단계 이드라 다음 뭐에요?
연장미정 | 2024. 7. 15. 12:47 | 444
이드라 4회처치 다음 뭔지 알려주실분
0
0
0
0
0
0
연장미정
신입 멤버
아렌|몽군|엔지니어|레벨 190
+ 구독하기 0","도비丷 | 2024. 7. 15. 12:51 답글
답글 2개 모두 보기",
"3주년 뽑기 없어졋나요? ㅠㅠ
ShineHunter | 2024. 7. 14. 21:08 | 589
3주년 뽑기 없어졋나요??
  소환칸 보니가 남은 티켓 처리하려는데 뽑기 이벤트 자체가 안보여서요 ㅠㅠ
0
0
0
0
1
0
ShineHunter
열심 멤버
|유성|위치|레벨 202
+ 구독하기 2","굳건한태양 | 2024. 7. 15. 01:20 답글
네 끝났어요 ㅠ",
